listing_id,source,source_listing_reference,title,asking_price,price_psf,address,property_type,bedrooms,bathrooms,floor_area_sqft,tenure,built_year,nearest_mrt_name,nearest_mrt_distance_m,listed_on_text,scraped_at,latitude,longitude,raw_listing_text
7db290835f78,PropertyGuru,500006751,180 Ang Mo Kio Avenue 5,440000,610.26,180 Ang Mo Kio Avenue 5,HDB Flat,2,2,721,99-year Leasehold,1980.0,TE6 Mayflower MRT Station,690.0,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184283+00:00,,,"S$ 440,000 S$ 610.26 psf 180 Ang Mo Kio Avenue 5 180 Ang Mo Kio Avenue 5 2 2 721 sqft HDB Flat 99-year Leasehold Built: 1980 8 min (690 m) from TE6 Mayflower MRT Station Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
f07f5088d94c,PropertyGuru,500013306,240 Yishun Ring Road,600000,460.83,240 Yishun Ring Road,HDB Flat,3,2,1302,99-year Leasehold,1984.0,NS13 Yishun MRT Station,1240.0,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184311+00:00,,,"S$ 600,000 S$ 460.83 psf 240 Yishun Ring Road 240 Yishun Ring Road 3 2 1,302 sqft HDB Flat 99-year Leasehold Built: 1984 15 min (1.24 km) from NS13 Yishun MRT Station Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
cadb5c50bd0a,PropertyGuru,500128952,297 Tampines Street 22,630000,557.52,297 Tampines Street 22,HDB Flat,3,2,1130,99-year Leasehold,1983.0,DT33 Tampines East MRT Station,630.0,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184327+00:00,,,"S$ 630,000 S$ 557.52 psf 297 Tampines Street 22 297 Tampines Street 22 3 2 1,130 sqft HDB Flat 99-year Leasehold Built: 1983 8 min (630 m) from DT33 Tampines East MRT Station Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
944f313a5732,PropertyGuru,25637669,426 Tampines Street 41,990000,625.79,426 Tampines Street 41,HDB Flat,3,2,1582,99-year Leasehold,1985.0,EW2 Tampines MRT Station,1060.0,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184340+00:00,,,"S$ 990,000 S$ 625.79 psf 426 Tampines Street 41 426 Tampines Street 41 3 2 1,582 sqft HDB Flat 99-year Leasehold Built: 1985 13 min (1.06 km) from EW2 Tampines MRT Station Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
7e23e6a0d522,PropertyGuru,500134917,105A Bidadari Park Drive,1118000,1105.84,105A Bidadari Park Drive,HDB Flat,3,2,1011,99-year Leasehold,2020.0,NE10 Potong Pasir MRT Station,450.0,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184351+00:00,,,"S$ 1,118,000 S$ 1,105.84 psf 105A Bidadari Park Drive 105A Bidadari Park Drive 3 2 1,011 sqft HDB Flat 99-year Leasehold Built: 2020 5 min (450 m) from NE10 Potong Pasir MRT Station Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
2bd8d02a653b,PropertyGuru,500206179,241 Jurong East Street 24,470000,642.08,241 Jurong East Street 24,HDB Flat,2,2,732,99-year Leasehold,1982.0,NS1 Jurong East MRT Station,1480.0,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184362+00:00,,,"S$ 470,000 S$ 642.08 psf 241 Jurong East Street 24 241 Jurong East Street 24 2 2 732 sqft HDB Flat 99-year Leasehold Built: 1982 18 min (1.48 km) from NS1 Jurong East MRT Station Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
9c666da6c5c8,PropertyGuru,500076490,31 Marine Crescent,480000,685.71,31 Marine Crescent,HDB Flat,3,1,700,99-year Leasehold,1974.0,TE27 Marine Terrace MRT Station,610.0,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184373+00:00,,,"S$ 480,000 S$ 685.71 psf 31 Marine Crescent 31 Marine Crescent 3 1 700 sqft HDB Flat 99-year Leasehold Built: 1974 7 min (610 m) from TE27 Marine Terrace MRT Station Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
a08e9cf6b557,PropertyGuru,500154396,339A Sembawang Close,740000,524.82,339A Sembawang Close,HDB Flat,4,2,1410,99-year Leasehold,1999.0,NS11 Sembawang MRT Station,690.0,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184383+00:00,,,"S$ 740,000 S$ 524.82 psf 339A Sembawang Close 339A Sembawang Close 4 2 1,410 sqft HDB Flat 99-year Leasehold Built: 1999 8 min (690 m) from NS11 Sembawang MRT Station Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
7583c2d2e07f,PropertyGuru,500166323,268C Boon Lay Drive,648000,547.3,268C Boon Lay Drive,HDB Flat,3,2,1184,99-year Leasehold,2000.0,EW27 Boon Lay MRT Station,1370.0,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184393+00:00,,,"S$ 648,000 S$ 547.30 psf 268C Boon Lay Drive 268C Boon Lay Drive 3 2 1,184 sqft HDB Flat 99-year Leasehold Built: 2000 16 min (1.37 km) from EW27 Boon Lay MRT Station Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
614c591b0b70,PropertyGuru,500200710,876A Tampines Avenue 8,818888,818.07,876A Tampines Avenue 8,HDB Flat,3,2,1001,99-year Leasehold,2020.0,,,"Jul 18, 2026 (2d ago)",2026-07-20T09:32:15.184401+00:00,,,"S$ 818,888 S$ 818.07 psf 876A Tampines Avenue 8 876A Tampines Avenue 8 3 2 1,001 sqft HDB Flat 99-year Leasehold Built: 2020 Listed on Jul 18, 2026 (2d ago) Contact Agent WhatsApp WhatsApp"
